case_name,pipe_count,total_pipes,success_count,failed_count,success_rate,total_conflicts,total_length,total_bend_violations,degraded_pipe_count,input_invalid,invalid_pipe_ids,invalid_reason,all_quality_checks_passed,unresolved_conflicts,cbs_iterations,cbs_remaining_conflicts,runtime_seconds,notes,result_json_path,result_html_path,routing_report_path
case_01_simple_clear,1,1,1,0,1.0000,0,1035.567,0,0,False,,,True,False,0,0,0.187,ok,outputs\cases\case_01_simple_clear\case_01_simple_clear_result.json,outputs\cases\case_01_simple_clear\case_01_simple_clear_result.html,outputs\cases\case_01_simple_clear\case_01_simple_clear_routing_report.md
case_02_obstacle_detour,1,1,1,0,1.0000,0,1129.988,0,0,False,,,True,False,0,0,0.797,ok,outputs\cases\case_02_obstacle_detour\case_02_obstacle_detour_result.json,outputs\cases\case_02_obstacle_detour\case_02_obstacle_detour_result.html,outputs\cases\case_02_obstacle_detour\case_02_obstacle_detour_routing_report.md
case_03_multi_pipe_conflict,3,3,3,0,1.0000,0,3093.701,0,0,False,,,True,False,0,0,2.813,ok,outputs\cases\case_03_multi_pipe_conflict\case_03_multi_pipe_conflict_result.json,outputs\cases\case_03_multi_pipe_conflict\case_03_multi_pipe_conflict_result.html,outputs\cases\case_03_multi_pipe_conflict\case_03_multi_pipe_conflict_routing_report.md
case_04_clamp_guided,1,1,1,0,1.0000,0,1123.855,0,0,False,,,True,False,0,0,0.229,ok,outputs\cases\case_04_clamp_guided\case_04_clamp_guided_result.json,outputs\cases\case_04_clamp_guided\case_04_clamp_guided_result.html,outputs\cases\case_04_clamp_guided\case_04_clamp_guided_routing_report.md
case_05_local_reroute,3,3,3,0,1.0000,0,3160.232,0,0,False,,,True,False,0,0,2.644,ok,outputs\cases\case_05_local_reroute\case_05_local_reroute_result.json,outputs\cases\case_05_local_reroute\case_05_local_reroute_result.html,outputs\cases\case_05_local_reroute\case_05_local_reroute_routing_report.md
case_06_dense_obstacles,3,3,3,0,1.0000,0,3189.539,0,0,False,,,True,False,0,0,6.988,ok,outputs\cases\case_06_dense_obstacles\case_06_dense_obstacles_result.json,outputs\cases\case_06_dense_obstacles\case_06_dense_obstacles_result.html,outputs\cases\case_06_dense_obstacles\case_06_dense_obstacles_routing_report.md
case_07_no_solution,1,1,0,1,0.0000,0,0.000,0,0,False,,,False,False,0,0,1.303,has_failure,outputs\cases\case_07_no_solution\case_07_no_solution_result.json,outputs\cases\case_07_no_solution\case_07_no_solution_result.html,outputs\cases\case_07_no_solution\case_07_no_solution_routing_report.md
case_08_many_pipes_6,6,6,6,0,1.0000,0,6240.000,0,0,False,,,True,False,0,0,1.479,ok,outputs\cases\case_08_many_pipes_6\case_08_many_pipes_6_result.json,outputs\cases\case_08_many_pipes_6\case_08_many_pipes_6_result.html,outputs\cases\case_08_many_pipes_6\case_08_many_pipes_6_routing_report.md
case_09_many_pipes_10,10,10,10,0,1.0000,0,12878.791,0,0,False,,,True,False,0,0,33.678,ok,outputs\cases\case_09_many_pipes_10\case_09_many_pipes_10_result.json,outputs\cases\case_09_many_pipes_10\case_09_many_pipes_10_result.html,outputs\cases\case_09_many_pipes_10\case_09_many_pipes_10_routing_report.md
case_10_many_pipes_dense_10,10,10,10,0,1.0000,0,14232.690,0,0,False,,,True,False,5,0,262.163,ok,outputs\cases\case_10_many_pipes_dense_10\case_10_many_pipes_dense_10_result.json,outputs\cases\case_10_many_pipes_dense_10\case_10_many_pipes_dense_10_result.html,outputs\cases\case_10_many_pipes_dense_10\case_10_many_pipes_dense_10_routing_report.md
